# This mapping file is used by process_dr_ropeless_trees.sh to map filename prefixes to human readable vegetation names
# Format:
#     Original filename prefix |
#     Category title (category.txt) |
#     Title (info.txt) |
#     Description (info.txt) |
#     Destination folder name (library path) |
#     Destination category folder name

AESCUbuck|Aesculus (Horse Chestnut / Buckeye)|Tree, Aesculus, Glabra (Buckeye)|Aesculus (Buckeye) tree|aesculus/1|aesculus
PALMspec2_m|Arecaceae (Palm)|Tree, Arecaceae (Palm)|Arecaceae (Palm) tree|arecaceae/10|arecaceae
PALMwashi|Arecaceae (Palm)|Tree, Arecaceae, Washingtonia Filifera (California Palm)|Arecaceae Washingtonia Filifera (California Palm) tree|arecaceae/11|arecaceae
PALOverde|Parkinsonia (Paloverde)|Tree, Parkinsonia (Paloverde)|Parkinsonia (Paloverde) tree|parkinsonia/1|parkinsonia
PAspec1|Arecaceae (Palm)|Tree, Arecaceae (Palm)|Arecaceae (Palm) tree|arecaceae/12|arecaceae
PAspec2|Arecaceae (Palm)|Tree, Arecaceae (Palm)|Arecaceae (Palm) tree|arecaceae/13|arecaceae
PINE_s|Pinus (Pine)|Tree, Pinus (Pine)|Pinus (Pine) tree|pinus/12|pinus
PINEmonterey|Pinus (Pine)|Tree, Pinus, Radiata (Monterey Pine)|Pinus Radiata (Monterey Pine) tree|pinus/13|pinus
PINEspec2_s|Pinus (Pine)|Tree, Pinus (Pine)|Pinus (Pine) tree|pinus/14|pinus
PINEspec3|Pinus (Pine)|Tree, Pinus (Pine)|Pinus (Pine) tree|pinus/15|pinus
PINEspec4|Pinus (Pine)|Tree, Pinus (Pine)|Pinus (Pine) tree|pinus/16|pinus
PINEw-white|Pinus (Pine)|Tree, Pinus, Monticola (Western White Pine)|Pinus Monticola (Western White Pine) tree|pinus/17|pinus
PINUS_s|Pinus (Pine)|Tree, Pinus (Pine)|Pinus (Pine) tree|pinus/18|pinus
PINUSdry_m|Pinus (Pine)|Tree, Pinus (Pine)|Pinus (Pine) tree|pinus/19|pinus
PINUSloblolly|Pinus (Pine)|Tree, Pinus Taeda (Loblolly Pine)|Pinus Taeda (Loblolly Pine) tree|pinus/20|pinus
PINUSmed1|Pinus (Pine)|Tree, Pinus (Pine)|Pinus (Pine) tree|pinus/21|pinus
PINUSmed2|Pinus (Pine)|Tree, Pinus (Pine)|Pinus (Pine) tree|pinus/22|pinus
